Question Number,Question Title,Voted On Question?,Vote Index,Vote Title,Voter Name,Voter Email,Vote Time
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,K,320,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,,257,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,,445,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,{,256,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,N,280,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,,245,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,,321,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,,600,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,E,314,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,,369,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,,243,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,,302,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
